"zona","state","municipio","head","hotel"
"1","Cancun","Cancun","Cancun","Royal Cancun"
"1","Cancun","Cancun","Cancun","Royal Cancun VCI"
"1","Cancun","Cancun","Cancun","Royal Caribbean"
"1","Cancun","Cancun","Cancun","Royal Holiday Cancun"
"1","Cancun","Cancun","Cancun","Royal Islander"
"1","Cancun","Cancun","Cancun","royal sands"
"1","Cancun","Cancun","Cancun","Royal Solaris Cancun"
"1","Cancun","Cancun","Cancun","Royal Sunset Cancun"
"1","Cancun","Cancun","Cancun","Royalton Suites Cancun Resort & Spa Zona Hotelera"
"1","Cancun","Cancun","Cancun","Salvia Cancun"
"1","Cancun","Cancun","Cancun","Sandos Cancun Lifestyle Resort"
"1","Cancun","Cancun","Cancun","Sandos de Cancún"
"1","Cancun","Cancun","Cancun","Seadust Cancun Family Resort"
"1","Cancun","Cancun","Cancun","Secrets The Vine Cancun"
"1","Cancun","Cancun","Cancun","Selina Cancun Hotel Zone (Lagoon)"
"1","Cancun","Cancun","Cancun","Señor Frogs Hostel Cancun"
"1","Cancun","Cancun","Cancun","Spacio Nube"
"1","Cancun","Cancun","Cancun","Suites Costa Blanca Hotel"
"1","Cancun","Cancun","Cancun","Suites Sina Cancun"
"1","Cancun","Cancun","Cancun","Sun Palace Cancun"
"1","Cancun","Cancun","Cancun","Sunset Lagoon Hotel & Marina"
"1","Cancun","Cancun","Cancun","Sunset Marina Resort & Yacht Club "
"1","Cancun","Cancun","Cancun","Sunset Marina Resort Cancun"
"1","Cancun","Cancun","Cancun","Sunset Royal Beach Resort Cancun"
"1","Cancun","Cancun","Cancun","Temptation Resort & Spa Cancun"
"1","Cancun","Cancun","Cancun","Terramar Plaza Condos Cancun"
"1","Cancun","Cancun","Cancun","The Pyramid at Grand Oasis - Cancun"
"1","Cancun","Cancun","Cancun","The Ritz-Carlton Cancun"
"1","Cancun","Cancun","Cancun","The Royal Cancun"
"1","Cancun","Cancun","Cancun","The villas at the royal cancun"
"1","Cancun","Cancun","Cancun","The Westin Laguna Mar Cancun"
"1","Cancun","Cancun","Cancun","Torre Dorada Cancún"
"1","Cancun","Cancun","Cancun","Ultramar Pto Juarez"
"1","Cancun","Cancun","Cancun","Villa Bonita Cancún"
